default_code;product_tmpl_id;id;volume;weight
M0101611/009;26918;59496;;
M0131506/030;12012;26711;;
M0618004/43-48;8141;16166;;
4559004/XXL;30871;68336;;
M0252138;25831;57170;;
1336705/270;7985;15899;;
7224901;32894;72682;;
4500606;13858;29907;;
4045420/07;18435;39366;;
M0618012/40;8415;16788;;
7271424/04;13085;28669;;
4045410;27009;59711;;
4061803/323;27127;59978;;
PR/70254;3694;72843;;
4162142;11697;25799;;
M0591931/01;37235;83422;;
9886411;3957;8636;;
5465607;30689;67930;;
M0627505;5659;10214;;
M0252139;25832;57171;;
M0747523/80;35395;78140;;
M0071217/08-18;5494;9791;;
PR/70255;3694;72844;;
5340518;23745;51888;;
6431411/280;23335;90230;;
M0043025;9998;22124;;
1995202;36045;79522;;
PR/Ult;37869;83268;;
2277604;2658;4565;;
M0811856/BL;39777;87100;;
1161326/08;2324;2716;;
M01710112;38521;84557;;
M0043324/YZ;31934;74108;;
7139264/L;37799;83081;;
M0040208;7952;15824;;
M0040573;38557;84626;;
1078902/42;14692;31305;;
M0748911/XXL;39166;95443;;
1078902/46;14692;31307;;
5466596;42758;93348;;
5465326;12437;27330;;
4897503;3996;8717;;
M0645150;38196;83891;;
6432105;23071;50821;;
1995304;36418;80279;;
M0165154/R12;30826;68235;;
6207606;12682;27578;;
1090612;28896;63967;;
2035197;32389;71683;;
M0040209;7952;15823;;
1083943;26163;57502;;
4045419/06;18434;39363;;
1271326/PW;9119;19784;;
64338092/25;41294;91793;;
M0654947;34450;75896;;
PR/70138;3784;72727;;
M0645141/66;30901;72970;;
M0291404/3-0;21833;48218;;
2037846;34343;75710;;
M0747522/80;35396;78141;;
1996704/22;7984;15897;;
M0593601;32819;72531;;
M0811902/XL;18589;40116;;
1083102;33093;73093;;
4469404;28770;63688;;
M0618013/45-48;8418;16805;;
7139264/XXL;37799;83083;;
1078903/42;8868;18903;;
M0040101;7950;15820;;
1155302;34923;76844;;
1801881/10;11833;75433;;
2226203/CE;27099;59836;;
2229406/BE;6085;11444;;
4264908;30177;66815;;
M0251324/08;25483;56556;;
64338092/35;41294;90229;;
M0618013/43-46;8418;16818;;
1705604;33130;73165;;
6433870;23438;51188;;
64338105/07;31094;68890;;
54653016;12397;27290;;
4233617;13203;29252;;
1161209/04;2325;2564;;
M0811839/03;32347;71612;;
M0040210;7953;15830;;
7225701;36267;80016;;
1833331;30662;67888;;
4486202;33685;74350;;
M0040211;7953;15829;;
M0398903/46;11441;57062;;
M0618104/39;8436;16979;;
M0811765/04;18520;72846;;
M0748903/XXL;8613;23581;;
M0072918;6028;11208;;
4701054;17293;37702;;
4163660/070;11729;62542;;
M0645115;9545;20722;;
PR/70140;3784;72729;;
1091101;5833;10820;;
M0291469;24179;53407;;
4233607;14496;30621;;
6207618;12690;27586;;
M01710164;6800;12999;;
M0813851;34673;76311;;
2351812/06;14523;30714;;
2148403/4648;30834;68254;;
9412805/1;25313;55700;;
1163820/FF;3226;6105;;
9412805/2;25313;55701;;
2979107/L;2302;3802;;
M0618000/39;8116;16087;;
4700454;33482;73912;;
7410114;18315;39164;;
4303319/14;5478;9715;;
2226203/SA;27099;59835;;
2227512;36132;79686;;
7391158/33;36943;81415;;
9412805/4;25313;55702;;
1707409;30755;68033;;
M0320305;3849;8362;;
M0170646;6450;12297;;
6433601;28731;63585;;
1181375/08;38494;84486;;
1083936;26157;57496;;
1884917;39001;85460;;
M0291531/10;22013;48619;;
1177513;12866;27877;;
PR/70167;8599;72756;;
PR/68875;10964;71467;;
8485710;33024;72976;;
M0618104/45;8436;16977;;
PR/71321;32092;73909;;
1997402;7987;15902;;
1299827;31700;70378;;
M0040212;7953;15828;;
2307203;33634;74255;;
M0373602;25992;57331;;
PR/84414;29092;86962;;
4266407;31937;70888;;
m0375012/45;26484;76618;;
2351812/15;14523;69441;;
M0667462;38949;85309;;
PR/70168;8599;72757;;
M01710161;36532;80622;;
2037845;34342;75709;;
M06451982;35887;79306;;
6431149/40;41292;90227;;
M0812103;16469;35886;;
1161209/06;2325;2565;;
2035229;39522;86551;;
21810036;30815;68221;;
M0357403;39803;87170;;
M02536067;25894;57233;;
M0698002/41;3415;6408;;
1372627;13669;29718;;
1370902;30756;68034;;
PR/UM1;39572;86633;;
64338197/8514;38740;91794;;
2226414;29413;65175;;
1948901/36;9579;20801;;
7361905/50;3790;7952;;
1181894/810;8599;72758;;
1163820/FS;3226;6104;;
6680401;13204;29253;;
6431219/15;41293;90228;;
M0645209/300;9569;20776;;
1997406/15;31756;70512;;
5349005/L;32281;71482;;
4180719;25042;54817;;
1912104;34772;76515;;
M0043813/b;6976;13697;;
PR/80580;7041;83144;;
M0383682;35806;79193;;
1613803/SG;13071;28591;;
M0645148/71;35090;77338;;
M0317404;32907;72722;;
7410117;18316;39165;;
2272801;27260;60350;;
1613803/CS;13071;28589;;
1833309/tg;5781;10663;;
M02915015/08;31965;70919;;
4180801;25049;54824;;
4701827/d9;17439;72863;;
M0645617;30812;68218;;
M0747429;3180;5950;;
2037844;32870;72645;;
M0748910/M;30080;66689;;
4703910;31053;68795;;
1997408;34460;75919;;
1997418;39386;86277;;
4303316/14;5478;75898;;
1181813/607;8554;17650;;
64339054;38002;83515;;
PR/70159;8599;72748;;
7391102/22;16878;36563;;
M0618911/64;8461;17043;;
M0618912/58;8461;17049;;
78574051/10;6528;12483;;
2229336/XL;6068;11413;;
1181820/ADA4140;32929;72777;;
1078903/44;8868;18904;;
2229406/LI;6085;11446;;
2229336/XXL;6068;11414;;
M0041124/100;38481;84454;;
6156808;7806;15461;;
1739461/59;18690;40425;;
1080238/60;25088;55071;;
4700451;32207;71357;;
4180720;25048;54823;;
41636922;43584;95444;;
4161904;43586;95446;;
1948901/38;9579;20797;;
4333302/04;18656;40283;;
2401904;31030;68755;;
1557403;10050;22290;;
PR/70160;8599;72749;;
M0645160/71;9553;20736;;
1080673;25149;55110;;
PR/70161;8599;72750;;
41636923;43585;95445;;
1161323/12;2427;2663;;
M06451994;29417;65181;;
6431717/bs;29397;72851;;
1373601;13672;29721;;
8485704;30523;67588;;
M00736023;33661;74308;;
PR/70162;8599;72751;;
4486203;33680;74345;;
1154917;39489;86506;;
PR/70163;8599;72752;;
2345204/9362;32987;72900;;
2345115;24553;53786;;
PR/28162;14522;30706;;
PR/28166;14522;30710;;
PR/28167;14522;30711;;
M0647842;39507;86533;;
PR/70164;8599;72753;;
64339082;41295;90231;;
PR/70165;8599;72754;;
7857472/MN25;27254;60344;;
PR/28168;14522;30712;;
M0667429;11224;24860;;
M00905126;26398;57813;;
4935482;31808;70580;;
M0645271;32930;72778;;
PR/75932;31552;78514;;
4163679;30903;68420;;
M0618914/62;9465;20553;;
2229406/SA;6085;11448;;
1372502;13674;29723;;
6430682;42032;91795;;
7410584;39683;86914;;
M0041337/1011;38558;84629;;
M0329201/XXXL;8725;18401;;
