attribute_line_id;product_tmpl_id;attribute_id;value
533;2361;1;26
533;2361;1;40
533;2361;1;54
533;2361;1;63
533;2361;1;73
533;2361;1;86
534;2361;3;18
534;2361;3;65
535;2362;1;26
535;2362;1;40
535;2362;1;54
535;2362;1;63
535;2362;1;73
535;2362;1;86
536;2362;7;59
536;2362;7;358
536;2362;7;10
536;2362;7;32
536;2362;7;42
537;2362;3;18
538;2360;1;26
538;2360;1;40
538;2360;1;54
538;2360;1;63
538;2360;1;73
538;2360;1;86
539;2360;3;75
539;2360;3;82
539;2360;3;152
540;2286;17;203
541;2286;18;199
541;2286;18;201
541;2286;18;202
541;2286;18;200
542;2246;17;204
543;2246;10;207
543;2246;10;7610
543;2246;10;206
543;2246;10;208
543;2246;10;209
556;2345;3;213
557;2345;18;200
557;2345;18;201
557;2345;18;212
558;2343;10;225
558;2343;10;221
558;2343;10;219
558;2343;10;223
558;2343;10;224
558;2343;10;222
558;2343;10;11699
559;2343;17;226
560;2322;17;227
561;2322;18;210
562;2326;17;228
563;2326;10;219
563;2326;10;220
563;2326;10;206
564;2281;18;200
564;2281;18;201
564;2281;18;212
565;2253;17;229
566;2253;18;212
566;2253;18;230
567;2252;17;232
568;2252;18;212
568;2252;18;230
569;2378;17;226
570;2378;18;230
570;2378;18;233
571;2254;17;234
572;2254;18;230
572;2254;18;212
573;2284;18;235
574;2318;18;200
574;2318;18;201
574;2318;18;212
574;2318;18;230
574;2318;18;236
575;2317;3;237
575;2317;3;213
576;2398;3;213
576;2398;3;237
577;2398;18;199
577;2398;18;210
577;2398;18;200
578;2381;17;229
578;2381;17;232
579;2381;18;200
579;2381;18;201
580;2282;3;239
580;2282;3;238
580;2282;3;215
580;2282;3;246
581;2282;18;240
582;2271;5;87
582;2271;5;115
582;2271;5;98
582;2271;5;128
583;2270;5;87
583;2270;5;98
583;2270;5;115
584;2278;5;87
584;2278;5;98
584;2278;5;115
584;2278;5;128
585;2277;5;87
585;2277;5;98
585;2277;5;115
585;2277;5;128
586;2336;5;128
586;2336;5;140
586;2336;5;241
586;2336;5;242
587;2336;21;243
587;2336;21;244
588;2344;5;87
588;2344;5;98
588;2344;5;115
589;2325;5;98
589;2325;5;128
589;2325;5;115
589;2325;5;87
589;2325;5;67
590;2327;5;67
590;2327;5;87
590;2327;5;98
590;2327;5;115
590;2327;5;128
590;2327;5;140
591;2328;5;67
591;2328;5;87
591;2328;5;98
591;2328;5;115
591;2328;5;128
591;2328;5;140
592;2333;5;55
592;2333;5;67
592;2333;5;87
592;2333;5;98
592;2333;5;115
592;2333;5;128
592;2333;5;140
593;2364;5;128
593;2364;5;140
593;2364;5;241
593;2364;5;242
593;2364;5;245
594;2332;5;55
594;2332;5;67
595;2430;5;67
595;2430;5;87
595;2430;5;98
595;2430;5;115
595;2430;5;128
595;2430;5;140
596;2429;5;55
596;2429;5;67
596;2429;5;87
596;2429;5;98
596;2429;5;115
596;2429;5;128
596;2429;5;140
597;2280;5;67
597;2280;5;87
597;2280;5;98
597;2280;5;115
597;2280;5;128
597;2280;5;140
598;2330;5;67
598;2330;5;87
598;2330;5;98
598;2330;5;115
598;2330;5;128
598;2330;5;140
599;2279;5;67
599;2279;5;87
599;2279;5;98
599;2279;5;115
599;2279;5;128
599;2279;5;140
600;2426;3;214
600;2426;3;211
601;2426;5;87
601;2426;5;67
601;2426;5;98
601;2426;5;128
601;2426;5;140
601;2426;5;115
602;2329;3;214
602;2329;3;211
603;2329;5;87
603;2329;5;98
603;2329;5;115
603;2329;5;128
603;2329;5;140
604;2427;3;246
604;2427;3;239
605;2341;5;128
605;2341;5;140
605;2341;5;245
605;2341;5;241
605;2341;5;242
606;2337;5;98
606;2337;5;115
606;2337;5;128
606;2337;5;140
607;2321;5;67
607;2321;5;87
607;2321;5;98
607;2321;5;115
607;2321;5;128
608;2433;5;128
608;2433;5;140
608;2433;5;241
608;2433;5;242
608;2433;5;245
608;2433;5;247
609;2338;5;98
609;2338;5;115
609;2338;5;128
610;2319;3;246
611;2319;5;87
611;2319;5;98
611;2319;5;115
612;2427;5;87
612;2427;5;98
612;2427;5;115
612;2427;5;128
612;2427;5;140
613;2320;3;246
614;2320;5;87
614;2320;5;98
614;2320;5;115
614;2320;5;128
614;2320;5;140
615;2323;5;67
615;2323;5;87
615;2323;5;98
615;2323;5;115
615;2323;5;128
616;2324;5;87
616;2324;5;98
616;2324;5;128
616;2324;5;115
617;2334;5;128
617;2334;5;140
617;2334;5;242
617;2334;5;241
618;2342;5;128
618;2342;5;140
618;2342;5;242
618;2342;5;241
618;2342;5;245
619;2428;5;67
619;2428;5;87
619;2428;5;98
619;2428;5;115
619;2428;5;55
620;2331;5;67
620;2331;5;87
620;2331;5;98
620;2331;5;115
620;2331;5;55
621;2380;13;252
621;2380;13;251
621;2380;13;250
621;2380;13;249
621;2380;13;248
622;2285;13;252
622;2285;13;253
622;2285;13;250
622;2285;13;249
623;2431;13;8605
623;2431;13;254
623;2431;13;255
623;2431;13;408
624;2432;13;255
624;2432;13;254
625;2315;13;408
625;2315;13;10236
625;2315;13;8605
625;2315;13;254
625;2315;13;255
626;2273;22;261
627;2272;22;268
627;2272;22;267
627;2272;22;266
627;2272;22;265
628;2348;23;282
628;2348;23;279
628;2348;23;278
628;2348;23;277
628;2348;23;276
628;2348;23;275
628;2348;23;274
628;2348;23;273
628;2348;23;272
628;2348;23;271
628;2348;23;270
628;2348;23;269
629;2348;3;18
630;2359;23;277
